"DateTime","Additions","Deletions"
"2024-04-14",1507,-756
"2024-04-21",286,-382
"2024-04-28",0,0
"2024-05-05",0,0
"2024-05-12",0,0
"2024-05-19",0,0
"2024-05-26",0,0
"2024-06-02",0,0
"2024-06-09",71,-10
"2024-06-16",0,0
"2024-06-23",0,0
"2024-06-30",0,0
"2024-07-07",0,0
"2024-07-14",32,-9
"2024-07-21",0,0
"2024-07-28",0,0
"2024-08-04",0,0
"2024-08-11",0,0
"2024-08-18",0,0
"2024-08-25",0,0
"2024-09-01",694,-689
"2024-09-08",8,-5
"2024-09-15",0,0
"2024-09-22",0,0
"2024-09-29",0,0
"2024-10-06",0,0
"2024-10-13",0,0
"2024-10-20",0,0
"2024-10-27",0,0
"2024-11-03",0,0
"2024-11-10",418,-333
"2024-11-17",0,0
"2024-11-24",0,0
"2024-12-01",0,0
"2024-12-08",3,0
"2024-12-15",0,0
"2024-12-22",0,0
"2024-12-29",0,0
"2025-01-05",0,0
"2025-01-12",0,0
"2025-01-19",25,-42
"2025-01-26",0,0
"2025-02-02",0,0
"2025-02-09",257,-370
"2025-02-16",0,0
"2025-02-23",14,-5
"2025-03-02",66,-3
"2025-03-09",0,0
"2025-03-16",5,-2
"2025-03-23",45,-30
"2025-03-30",0,0
